question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit,audio_url,audio_url_cyrl,explanation_text,explanation_text_cyrl
Quyidagi javoblardan qaysi birida «Yo'lovchi»atamasining to'g'ri tarifi ko'rsatilgan?,Қуйидаги жавоблардан қайси бирида «Ё’ловчи»атамасининг тўғри тарифи кўрсатилган?,"{""Transport vositasidagi barcha shaxslar"",""Transport vositasidagi(haydovchidan tashqari) shaxs,shuningdek transport vositasigakirayotgan(unga chiqib o'tirayotgan)aki transport vositasi danchiqayotgan(undan tushayotgan) shaxs"",""Har ikkala tarif to'g'ri""}","{""Транспорт воситасидаги барча шахслар"",""Транспорт воситасидаги(ҳайдовчидан ташқари) шахс,шунингдек транспорт воситасигакираётган(унга чиқиб ўтираётган)аки транспорт воситаси данчиқаётган(ундан тушаётган) шахш"",""Ҳар иккала тариф тўғри""}",1,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Quyidagi javoblardan qaysi birida «Xavf»atamasining to'g'ri tarifi ko'rsatilgan?,Қуйидаги жавоблардан қайси бирида «Хавф»атамасининг тўғри тарифи кўрсатилган?,"{""Yo'l harakati xavfsizligiga xavf soluvchi har qanday omil"",""Yo'l harakati qatnashchilarining yo'nalishini o'zgartirishga majbur qiladigan har qanday to'siq"",""Yo'l harakati jarayonidan o'sha yo'nalishda va o'sha tezlikda harakatlanishni davom ettirish yo'l transport hodisasi sodir bo'lishiga tahdid soladigan omil""}","{""Ё’л ҳаракати хавфсизлигига хавф солувчи ҳар қандай омил"",""Ё’л ҳаракати қатнашчиларининг ё’налишини ўзгартиришга мажбур қиладиган ҳар қандай тўсиқ"",""Ё’л ҳаракати жараёнидан ўша ё’налишда ва ўша тезликда ҳаракатланишни давом еттириш ё’л транспорт ҳодисаси содир бўлишига таҳдид соладиган омил""}",0,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Engil avtomobilning tom qismiga o'rnatilganyukhonasida yukning balandligi(maxsusmoslamalar bilan mustahkamlangan holdavelosipedlarni tashish bundan mustasno) nechametrdan oshmasligi kerak ?,Енгил автомобилнинг том қисмига ўрнатилганюкҳонасида юкнинг баландлиги(махсусмосламалар билан мустаҳкамланган ҳолдавелосипедларни ташиш бундан мустасно) нечаметрдан ошмаслиги керак ?,"{""0.5 metr"",""1.0 metr"",""1.2 metr"",""1.5 metr""}","{""0.5 метр"",""1.0 метр"",""1.2 метр"",""1.5 метр""}",1,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Bir yo'nalishda uch va undan ortiq tasmali harqanday yo'lda yuk avtomobillariga chetki chap qatorni egallashga ruxsat etiladi:,Бир ё’налишда уч ва ундан ортиқ тасмали ҳарқандай ё’лда юк автомобилларига четки чап қаторни егаллашга рухсат етилади:,"{""Quvib o'tish, chapga burilish va qayrilib olishda"",""Quvib o'tish va aylanib o'tishda"",""Chapga burilish va qayrilib olishda"",""Barcha hollarda""}","{""Қувиб ўтиш, чапга бурилиш ва қайрилиб олишда"",""Қувиб ўтиш ва айланиб ўтишда"",""Чапга бурилиш ва қайрилиб олишда"",""Барча ҳолларда""}",2,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Bu yotiq chiziq bildiradi:,Бу ётиқ чизиқ билдиради:,"{""Ko'rsatilgan yo'nalishlarida xarakakatlanishni taqiqlanadi"",""Choraxalarda tasmalar bo'yicha ruxsat etilgan xarakat yo'nalishlarni ko'rsatadi"",""Xarakat barcha yo'nalishlarda ruxsat etilgan yo'llarning Kesishmasiga yaqinlashganlikni""}","{""Кўрсатилган ё’налишларида харакакатланишни тақиқланади"",""Чорахаларда тасмалар бўйича рухсат етилган харакат ё’налишларни кўрсатади"",""Харакат барча ё’налишларда рухсат етилган ё’лларнинг Кесишмасига яқинлашганликни""}",1,https://ptest.uz/images/0b81f5bd-0037-47e9-b79e-b469b2fc5969.webp,Bilet 51-60,300,,,,
Maktab va maktabgacha talim tashkilotlari atrofidagi yullarda 300 metrgacha bo'lgan masofada kanday eng yukori tezlikda harakatlanishga ruhsat etiladi,Мактаб ва мактабгача талим ташкилотлари атрофидаги юлларда 300 метргача бўлган масофада кандай енг юкори тезликда ҳаракатланишга руҳсат етилади,"{""20 km/s"",""30 km/s"",""50 km/s"",""60 km/s""}","{""20 км/ш"",""30 км/ш"",""50 км/ш"",""60 км/ш""}",1,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Bunday vaziyatda siz:,Бундай вазиятда сиз:,"{""Birinchi o‘tish huquqiga egaman"",""Ro‘paradan kelayotgan avtomobilga yo‘l beraman""}","{""Биринчи ўтиш ҳуқуқига егаманг"",""Рўпарадан келаётган автомобилга ё’л бераманг""}",1,https://ptest.uz/images/e16723a8-fc03-4092-a39b-8b454fff3360.webp,Bilet 51-60,300,,,,
Odam tashish uchun mo'ljallangan yuk avtomobilining yuk xonasi bortining balandligi:,Одам ташиш учун мўлжалланган юк автомобилининг юк хонаси бортининг баландлиги:,"{""0.7 metrdan kam bo'lmasligi kerak"",""1 metrdan kam bo'lmasligi kerak"",""1.3 metrdan kam bo'lmasligi kerak"",""1.5 metrdan kam bo'lmasligi kerak""}","{""0.7 метрдан кам бўлмаслиги керак"",""1 метрдан кам бўлмаслиги керак"",""1.3 метрдан кам бўлмаслиги керак"",""1.5 метрдан кам бўлмаслиги керак""}",2,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Bekat maydonchalaridan harakatlanish yunalishi bo'ylab kanchadan kam masofada (etmasdan va o'tib ketib) to'xtash va to'xtab turish takiklanadi?,Бекат майдончаларидан ҳаракатланиш юналиши бўйлаб канчадан кам масофада (етмасдан ва ўтиб кетиб) тўхташ ва тўхтаб туриш такикланади?,"{""25 metr"",""30 metr"",""15 metr"",""20 metr""}","{""25 метр"",""30 метр"",""15 метр"",""20 метр""}",2,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Qayta tizilish deb nimaga aytiladi?,Қайта тизилиш деб нимага айтилади?,"{""Dastlabki harakat yo'nalishini saqlagan holda o'z harakatlanish tasmasidan boshqa harakatlanish qatoriga o'tish"",""Qatnov qismining maxsus ajratilgan,5.35 - 5.37 yo'l belgilari, 1.9 yo'lchizig'i bilan belgilangan va ustida reversiv svetofor o'rnatilgan bo'lagida harakatlanish yo'nalishini qarama-qarshi tomonga o'zgartirish"",""Xavf tug'ilganda yo'ldagi boshqa harakat qatnashchilarining harakatlanishiga to'sqinlik qilmaslik uchun haydovchilar tomonidan bajariladigan harakat(manyovr)""}","{""Дастлабки ҳаракат ё’налишини сақлаган ҳолда ўз ҳаракатланиш тасмасидан бошқа ҳаракатланиш қаторига ўтиш"",""Қатнов қисмининг махсус ажратилган,5.35 - 5.37 ё’л белгилари, 1.9 ё’лчизиғи билан белгиланган ва устида реверсив светофор ўрнатилган бўлагида ҳаракатланиш ё’налишини қарама-қарши томонга ўзгартириш"",""Хавф туғилганда ё’лдаги бошқа ҳаракат қатнашчиларининг ҳаракатланишига тўсқинлик қилмаслик учун ҳайдовчилар томонидан бажариладиган ҳаракат(манёвр)""}",0,https://postimg.cc/Dmfk0bYv,Bilet 51-60,300,,,,
Mazkur yo'l belgisi:,Мазкур ё’л белгиси:,"{""Doimiy belgi hisoblanadi"",""Vaqtinchalik belgi hisoblanadi"",""Mavsumiy belgi hisoblanadi""}","{""Доимий белги ҳисобланади"",""Вақтинчалик белги ҳисобланади"",""Мавсумий белги ҳисобланади""}",1,https://ptest.uz/images/51a1c04e-c9b3-44b4-8c1e-01edfbaad301.webp,Bilet 51-60,300,,,,
