question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit,audio_url,audio_url_cyrl,explanation_text,explanation_text_cyrl
Haydovchi qanday holda bu belgining talablarini to'g'ri bajaradi?,Ҳайдовчи қандай ҳолда бу белгининг талабларини тўғри бажаради?,"{""Kesishadigan yo'l bo'ylab harakat qilayotgan mexanik transport vositalariga yo'l beradi"",""Kesishadigan yo'l bo'ylab harakat qilayotgan transport vositalariga yo'l beradi""}","{""Кесишадиган ёл бўйлаб ҳаракат қилаётган механик транспорт воситаларига ёл беради"",""Кесишадиган ёл бўйлаб ҳаракат қилаётган транспорт воситаларига ёл беради""}",1,https://ptest.uz/images/3732ba1f-208b-4336-86ac-b5bfcd6ad3f8.webp,21-BILET,300,,,,
"Avtopoezdni shu vaziyatda, agar u 40 km/s, dan kam tezlik bilan harakat qilayotgan bo'lsa, quvib o'tishga ruxsat etiladimi?","Автопоездни шу вазиятда, агар у 40 км/с, дан кам тезлик билан ҳаракат қилаётган бўлса, қувиб ўтишга рухсат етиладими?","{""Taqiqlanadi"",""Ruxsat etiladi""}","{""Тақиқланади"",""Рухсат етилади""}",0,https://ptest.uz/images/00541196-4363-44a2-b90f-63656072bd46.webp,21-BILET,300,,,,
"Ikki tomonlama harakatli yo'lda uchta bo'lak bor, siz o'ngga burilishingiz zarur. Siz ushbu manyovrni qaysi bo'lakdan amalga oshirasiz?","Икки томонлама ҳаракатли ёлда учта бўлак бор, сиз ўнгга бурилишингиз зарур. Сиз ушбу манёврни қайси бўлакдан амалга оширасиз?","{""O'ng bo'lakdan"",""O'rta bo'lakdan"",""O'ng yoki o'rta bo'lakdan"",""O'rta bo'lakdan, lekin faqat o'ng bo'lak band bo'lgan vaqtda""}","{""Ўнг бўлакдан"",""Ўрта бўлакдан"",""Ўнг ёки ўрта бўлакдан"",""Ўрта бўлакдан, лекин фақат ўнг бўлак банд бўлган вақтда""}",0,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Qaysi transport vositasining haydovchisi yo'l berishi kerak?,Қайси транспорт воситасининг ҳайдовчиси ёл бериши керак?,"{""Ko'k avtomobilning haydovchisi"",""Qizil avtomobilning haydovchisi""}","{""Кўк автомобилнинг ҳайдовчиси"",""Қизил автомобилнинг ҳайдовчиси""}",0,https://ptest.uz/images/18cc427e-716e-4e0f-a6f4-9f20c907890e.webp,21-BILET,300,,,,
Jarohatdan behushlanganda birinchi tibbiy yordamni qanday ko'rsatish kerak?,Жароҳатдан беҳушланганда биринчи тиббий ёрдамни қандай кўрсатиш керак?,"{""Kiyim-boshni echish yoki bo'shatish, toza havo kelishini taminlash. Nashatir spirti hidlatish. Yuzga sovuq suv sepish. Peshonaga va gardanga iliq malhamlar qo'yish"",""Mutloq tinch qo'yish. Boshni tushirish, oyoqlarni ko'tarish, badanni isitish. Qaynoq ichimlik (choy va shu kabilar) berish. Bog'langan jgutni shifokorsiz echmaslik va bo'shatmaslik""}","{""Кийим-бошни ечиш ёки бўшатиш, тоза ҳаво келишини таминлаш. Нашатир спирти ҳидлатиш. Юзга совуқ сув сепиш. Пешонага ва гарданга илиқ малҳамлар қўйиш"",""Мутлоқ тинч қўйиш. Бошни тушириш, оёқларни кўтариш, баданни иситиш. Қайноқ ичимлик (чой ва шу кабилар) бериш. Боғланган жгутни шифокорсиз ечмаслик ва бўшатмаслик""}",1,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Oq chiziq bilan belgilangan orolchaga kirishga ruxsat etiladimi?,Оқ чизиқ билан белгиланган оролчага киришга рухсат етиладими?,"{""Faqat to'xtash uchun ruxsat etiladi"",""Orqa bilan harakat qilganda ruxsat etiladi"",""Taqiqlanadi""}","{""Фақат тўхташ учун рухсат етилади"",""Орқа билан ҳаракат қилганда рухсат етилади"",""Тақиқланади""}",2,https://ptest.uz/images/a7d04f41-709f-46ca-8fc4-b7e8211dd9ad.webp,21-BILET,300,,,,
Relssiz transport vositalarining harakatlanishi uchun bo'laklar soni qanday aniqlanadi?,Релссиз транспорт воситаларининг ҳаракатланиши учун бўлаклар сони қандай аниқланади?,"{""Yo'l yotiq chizig'i bilan"",""Bo'laklar bo'yicha harakatlanish yo'nalishi yoki \""????? ?????? ???????????? ????????\"" yo'l belgilari bilan"",""Haydovchining o'zi tomonidan qatnov qismining kengligini, transport vositalarining o'lchamlarini va ular o'rtasidagi zarur yonlama oraliq masofani hisobga olib"",""Barcha sanab o'tilgan usullar bilan""}","{""Ёл ётиқ чизиғи билан"",""Бўлаклар бўйича ҳаракатланиш ёналиши ёки \""????? ?????? ???????????? ????????\"" ёл белгилари билан"",""Ҳайдовчининг ўзи томонидан қатнов қисмининг кенглигини, транспорт воситаларининг ўлчамларини ва улар ўртасидаги зарур ёнлама оралиқ масофани ҳисобга олиб"",""Барча санаб ўтилган усуллар билан""}",3,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Harakatlanish kimga ruxsat etilgan?,Ҳаракатланиш кимга рухсат етилган?,"{""Yuk avtomobili va motosiklga"",""Barcha transport vositalariga"",""Tramvayga va engil avtomobilga"",""Engil va yuk avtomobiliga, motosiklga""}","{""Юк автомобили ва мотосиклга"",""Барча транспорт воситаларига"",""Трамвайга ва енгил автомобилга"",""Енгил ва юк автомобилига, мотосиклга""}",0,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Haydovchi qaysi rasmda qoidalar talablarini buzmay turib manyovr qildi?,Ҳайдовчи қайси расмда қоидалар талабларини бузмай туриб манёвр қилди?,"{""1"",""2"",""3""}","{""1"",""2"",""3""}",0,https://ptest.uz/images/a544d057-16cd-4b5e-9a90-55c073aecee6.webp,21-BILET,300,,,,
"Kunning qorong'i vaqtida va etarlicha ko'rinmaydigan sharoitlarda yo'lda qoldirilgan yo'l mashinalari, qurilish materiallari, qurilmalar va hokazolar belgilanishi kerak:","Куннинг қоронги вақтида ва етарлича кўринмайдиган шароитларда ёлда қолдирилган ёл машиналари, қурилиш материаллари, қурилмалар ва ҳоказолар белгиланиши керак:","{""Tegishli yo'l belgilari bilan"",""Yo'naltiruvchi va tevaragini o'rovchi moslamalar bilan"",""Qizil yoki sariq yoritkich chiroqlari bilan"",""Barcha sanab o'tilgan hollar bajarilishi kerak""}","{""Тегишли ёл белгилари билан"",""Ёналтирувчи ва теварагини ўровчи мосламалар билан"",""Қизил ёки сариқ ёриткич чироқлари билан"",""Барча санаб ўтилган ҳоллар бажарилиши керак""}",3,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Transport vositalari chorrahani quyidagi tartibda kesib o'tadilar:,Транспорт воситалари чорраҳани қуйидаги тартибда кесиб ўтадилар:,"{""Tramvay, avtomobil va avtobus bir vaqtda"",""Tramvay, avtobus, avtomobil"",""Avtobus, tramvay, avtomobil""}","{""Трамвай, автомобил ва автобус бир вақтда"",""Трамвай, автобус, автомобил"",""Автобус, трамвай, автомобил""}",0,https://ptest.uz/images/cdcab0dd-3192-4088-ab4a-22513f9bce82.webp,21-BILET,300,,,,
Qaysi transport vositasining haydovchisi qayrilishni to'g'ri bajaradi?,Қайси транспорт воситасининг ҳайдовчиси қайрилишни тўғри бажаради?,"{""Ko'k avtomobilning haydovchisi"",""Qizil avtomobilning haydovchisi"",""Har ikki haydovchi""}","{""Кўк автомобилнинг ҳайдовчиси"",""Қизил автомобилнинг ҳайдовчиси"",""Ҳар икки ҳайдовчи""}",2,https://ptest.uz/images/440c5991-c4e3-40ec-bcd9-7113ba8170f6.webp,21-BILET,300,,,,
Ko'rsatilgan belgilardan qay biri avtopoezdni bildirish uchun o'rnatiladi?,Кўрсатилган белгилардан қай бири автопоездни билдириш учун ўрнатилади?,"{""Chap belgi"",""O'ng belgi"",""Har ikki belgi""}","{""Чап белги"",""Ўнг белги"",""Ҳар икки белги""}",2,https://ptest.uz/images/b71c7f62-519f-43fd-a4fb-6a9b8243b9bb.webp,21-BILET,300,,,,
Qaysi avtomobil to'xtash qoidasini buzdi?,Қайси автомобил тўхташ қоидасини бузди?,"{""Yashil avtomobil"",""Har ikkisi buzdi"",""Har ikkisi ham buzmadi""}","{""Яшил автомобил"",""Ҳар иккиси бузди"",""Ҳар иккиси ҳам бузмади""}",1,https://ptest.uz/images/ed398a24-6d2a-4c72-b81c-7000c45b8500.webp,21-BILET,300,,,,
"Agar yo'l bo'lagi sidirg'a chiziq bilan ajratilib, belgi bilan belgilangan bo'lsa, avtobus haydovchisining bo'lak bo'ylab harakatlanishiga ruxsat etiladimi?","Агар ёл бўлаги сидирға чизиқ билан ажратилиб, белги билан белгиланган бўлса, автобус ҳайдовчисининг бўлак бўйлаб ҳаракатланишига рухсат етиладими?","{""Ruxsat etiladi"",""Taqiqlanadi"",""Agar avtobus belgilangan yo'nalish bo'yicha harakatlansa, ruxsat etiladi""}","{""Рухсат етилади"",""Тақиқланади"",""Агар автобус белгиланган ёналиш бўйича ҳаракатланса, рухсат етилади""}",2,https://ptest.uz/images/4e5773b0-e84f-49c2-b066-790d85bba0dc.webp,21-BILET,300,,,,
Ko'krak qafasi shikastlangan yaradorni kerakli joyga qanday eltish kerak?,Кўкрак қафаси шикастланган ярадорни керакли жойга қандай елтиш керак?,"{""Yaralangan yoni bilan yotgan yoki yarim o'tirgan holda"",""Sog' yoni bilan yotgan yoki o'tirgan holda"",""Orqasi bilan yoki qorni bilan yotgan holda""}","{""Яраланган ёни билан ётган ёки ярим ўтирган ҳолда"",""Соғ ёни билан ётган ёки ўтирган ҳолда"",""Орқаси билан ёки қорни билан ётган ҳолда""}",0,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Ko'rsatilgan belgilardan qay biri ilgari kiritilgan barcha cheklashlarni bekor qiladi?,Кўрсатилган белгилардан қай бири илгари киритилган барча чеклашларни бекор қилади?,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5""}",3,https://ptest.uz/images/cfa6ddfb-e0d4-47f0-a00e-7ebe3baa4f37.webp,21-BILET,300,,,,
Avtomobil haydovchisi uni boshqa transport vositalari quvib o'tayotganda qanday harakat qilishi kerak?,Автомобил ҳайдовчиси уни бошқа транспорт воситалари қувиб ўтаётганда қандай ҳаракат қилиши керак?,"{""Harakat bo'lagini o'zgartirmay, o'ng burilish ishorasini berishi"",""Harakat tezligini oshirish yoki boshqa xatti-harakatlar bilan quvib o'tishga to'sqinlik qilmasligi"",""Harakat tezligini kamaytirishi, tovush ishora berishi""}","{""Ҳаракат бўлагини ўзгартирмай, ўнг бурилиш ишорасини бериши"",""Ҳаракат тезлигини ошириш ёки бошқа хатти-ҳаракатлар билан қувиб ўтишга тўсқинлик қилмаслиги"",""Ҳаракат тезлигини камайтириши, товуш ишора бериши""}",1,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Qo'l bilan beriladigan ogohlantiruvchi ishora qoidalarga muvofiq qachon tugallanishi mumkin?,Қўл билан бериладиган огоҳлантирувчи ишора қоидаларга мувофиқ қачон тугалланиши мумкин?,"{""Manyovrni bevosita bajarishdan oldin"",""Manyovr tugagandan so'ng zudlik bilan"",""Manyovr bajarayotgan vaqtda""}","{""Манёврни бевосита бажаришдан олдин"",""Манёвр тугагандан сўнг зудлик билан"",""Манёвр бажараётган вақтда""}",0,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Qish vaqtida orqa etakchi ko'prikli avtomobilda chuqur bo'lib qolgan g'ildirak izidan qanday chiqish mumkin?,Қиш вақтида орқа етакчи кўприкли автомобилда чуқур бўлиб қолган ғилдирак изидан қандай чиқиш мумкин?,"{""Uncha katta bo'lmagan tezliqda chiqish, birinchi galda boshqaruv chambaragini chiqish tomonning ro'parasiga, keyin esa chiqish tomoniga shiddat bilan burish kerak"",""Izdan chiqishni iloji boricha tezroq boshlash, dastlab boshqaruv chambaragini chiqish tomoniga, keyin esa ro'parasiga burish kerak""}","{""Унча катта бўлмаган тезлиқда чиқиш, биринчи галда бошқарув чамбарагини чиқиш томоннинг рўпарасига, кейин еса чиқиш томонига шиддат билан буриш керак"",""Издан чиқишни иложи борича тезроқ бошлаш, дастлаб бошқарув чамбарагини чиқиш томонига, кейин еса рўпарасига буриш керак""}",0,https://postimg.cc/Dmfk0bYv,21-BILET,300,,,,
Haydovchi qanday holda bu belgining talablarini to'g'ri bajaradi?,Ҳайдовчи қандай ҳолда бу белгининг талабларини тўғри бажаради?,"{""Kesishadigan yo'l bo'ylab harakat qilayotgan mexanik transport vositalariga yo'l beradi"",""Kesishadigan yo'l bo'ylab harakat qilayotgan transport vositalariga yo'l beradi""}","{""Кесишадиган ёл бўйлаб ҳаракат қилаётган механик транспорт воситаларига ёл беради"",""Кесишадиган ёл бўйлаб ҳаракат қилаётган транспорт воситаларига ёл беради""}",1,https://ptest.uz/images/3732ba1f-208b-4336-86ac-b5bfcd6ad3f8.webp,21-BILET,300,,,,
Qaysi belgi kesishadigan yo'l bo'ylab harakat qilayotgan transport vositalariga yo'l berish majburiyatini yuklaydi?,Қайси белги кесишадиган ёл бўйлаб ҳаракат қилаётган транспорт воситаларига ёл бериш мажбуриятини юклайди?,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5""}",3,https://ptest.uz/images/5277d174-31ff-41a8-9697-2330ee2fda26.webp,22-BILET,300,,,,
Manyovr vaqtida haydovchi xar doim ogoxlantiruvchi ishorasi berishi kerakmi?,Манёвр вақтида ҳайдовчи хар доим огохлантирувчи ишораси бериши керакми?,"{""Faqat agar uning orqasida boshqa transport vositasi harakatlanayotgan holda"",""Faqat agar uning transport vositasi burilishini ko'rsatuvchi chiroqlar bilan jihozlangan holda"",""Faqat serqatnov harakatli yo'lda"",""Faqat u harakatning boshqa ishtirokchilarini chalg'itmagan hollarda""}","{""Фақат агар унинг орқасида бошқа транспорт воситаси ҳаракатланаётган ҳолда"",""Фақат агар унинг транспорт воситаси бурилишини кўрсатувчи чироқлар билан жиҳозланган ҳолда"",""Фақат серқатнов ҳаракатли ёлда"",""Фақат у ҳаракатнинг бошқа иштирокчиларини чалғитмаган ҳолларда""}",3,https://postimg.cc/Dmfk0bYv,22-BILET,300,,,,
Chorrahani kesib o'tish navbatini ko'rsating:,Чорраҳани кесиб ўтиш навбатини кўрсатинг:,"{""Ko'k, qizil, ayni vaqtda yashil bilan"",""Qizil, ko'k, yashil"",""Qizil ayni vaqtda yashil bilan, ko'k""}","{""Кўк, қизил, айни вақтда яшил билан"",""Қизил, кўк, яшил"",""Қизил айни вақтда яшил билан, кўк""}",2,https://ptest.uz/images/6616c132-f0cf-42ee-99d7-37861bd5cc2c.webp,22-BILET,300,,,,
"Transport vositasining haydovchisi oldida ""to'xtash chizig'i"" chizilgan va svetoforning yashil yoritkichi yoniq bo'lgan chorrahaga yaqinlashayotib nima qilishi kerak?","Транспорт воситасининг ҳайдовчиси олдида ""тўхташ чизиғи"" чизилган ва светофорнинг яшил ёриткичи ёниқ бўлган чорраҳага яқинлашаётиб нима қилиши керак?","{""\""?????? ??????\""da to'xtashi, so'ng esa harakatni qayta tiklashi"",""To'xtamasdan chorraha orqali harakatni davom ettirishi""}","{""\""?????? ??????\""да тўхташи, сўнг еса ҳаракатни қайта тиклаши"",""Тўхтамасдан чорраҳа орқали ҳаракатни давом еттириши""}",1,https://postimg.cc/Dmfk0bYv,22-BILET,300,,,,
"Ruxsat etilgan to'la vazni 3,5 t dan kam bo'lgan yuk avtomobilining haydovchisiga avtomagistrallarda nima taqiqlangan?","Рухсат етилган тўла вазни 3,5 т дан кам бўлган юк автомобилининг ҳайдовчисига автомагистралларда нима тақиқланган?","{""Uch bo'lakli yo'lning ikkinchi bo'lagida harakatlanish"",""Orqa bilan harakatlanish"",""Mexanik transport vositalarini shatakka olish"",""Barcha sanab o'tilgan harakatlar""}","{""Уч бўлакли ёлнинг иккинчи бўлагида ҳаракатланиш"",""Орқа билан ҳаракатланиш"",""Механик транспорт воситаларини шатакка олиш"",""Барча санаб ўтилган ҳаракатлар""}",1,https://postimg.cc/Dmfk0bYv,22-BILET,300,,,,
Qaysi transport vositasi haydovchisi yo'l berishi kerak?,Қайси транспорт воситаси ҳайдовчиси ёл бериши керак?,"{""Avtomobil haydovchisi"",""Motosikl haydovchisi""}","{""Автомобил ҳайдовчиси"",""Мотосикл ҳайдовчиси""}",1,https://ptest.uz/images/f0b7329e-4325-41e6-9054-b746f36b0e12.webp,22-BILET,300,,,,
Aholi punktlaridan tashqarida yuk avtomobil yukxonasida odamlarni tashishda qanday eng yuqori tezlikda harakatlanishga ruxsat etiladi?,Аҳоли пунктларидан ташқарида юк автомобил юкхонасида одамларни ташишда қандай енг юқори тезликда ҳаракатланишга рухсат етилади?,"{""40 km/s"",""50 km/s"",""60 km/s"",""70 km/s"",""80 km/s""}","{""40 км/с"",""50 км/с"",""60 км/с"",""70 км/с"",""80 км/с""}",2,https://postimg.cc/Dmfk0bYv,22-BILET,300,,,,
Bunday vaziyatda haydovchi nima qilishi kerak?,Бундай вазиятда ҳайдовчи нима қилиши керак?,"{""Oldindan yaqin fara chiroqlarini yoqib va uzluksiz tovush ishorasini berib, eng kam tezlik bilan turgan transport vositasini aylanib o'tishi"",""Qatnov qismidan o'tayotgan bolalarga yo'l berishi"",""Bu yo'l qismidan o'tishi kerak, chunki bolalar qatnov qismini piyodalar o'tish joyidan kesib o'tmayaptilar""}","{""Олдиндан яқин фара чироқларини ёқиб ва узлуксиз товуш ишорасини бериб, енг кам тезлик билан турган транспорт воситасини айланиб ўтиши"",""Қатнов қисмидан ўтаётган болаларга ёл бериши"",""Бу ёл қисмидан ўтиши керак, чунки болалар қатнов қисмини пиёдалар ўтиш жойидан кесиб ўтмаяптилар""}",1,https://ptest.uz/images/3ce87672-16cf-4f85-bb8a-ba3ee5271ebf.webp,22-BILET,300,,,,
Mazkur taniqlik belgisi nimani bildiradi?,Мазкур таниқлик белгиси нимани билдиради?,"{""Oldinda qatnov qismi notekis bo'lgan yo'l qismini"",""Oldinda shu yo'nalishda harakatlanish uchun uch bo'lakli yo'l qismini"",""Mexanik transport vositasida tishli turumlangan (shiplar) shinalar o'rnatilganini""}","{""Олдинда қатнов қисми нотекис бўлган ёл қисмини"",""Олдинда шу ёналишда ҳаракатланиш учун уч бўлакли ёл қисмини"",""Механик транспорт воситасида тишли турумланган (шиплар) шиналар ўрнатилганини""}",2,https://ptest.uz/images/90d8baf5-c067-4546-8efd-c1fd08dc3c08.webp,22-BILET,300,,,,
Avtobus haydovchisiga yo'lovchilarni tushirish uchun to'xtashga ruxsat etiladimi?,Автобус ҳайдовчисига ёловчиларни тушириш учун тўхташга рухсат етиладими?,"{""Taqiqlanadi"",""Ruxsat etiladi""}","{""Тақиқланади"",""Рухсат етилади""}",0,https://ptest.uz/images/971ae0f9-4594-41ec-ab25-46ee30dce6f8.webp,22-BILET,300,,,,
