question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit,audio_url,audio_url_cyrl,explanation_text,explanation_text_cyrl
41-BILET Bosh miya jarohatlanishining asosiy alomatlari:,41-BILET Бош мия жароҳатланишининг асосий аломатлари:,"{""Hushdan ketish bir necha soniyadan birnecha soatgacha bo'lishi mumkin"",""Qayt qilish bir-ikki marta, og'ir holatlarda ko'proq bo'lishi mumkin"",""Amneziya – xotiraning yo'qolishi,sodir bo'lgan jarohatlanish bilan bog'liq va hayotdagi bazi voqealar xotirasidan o'chadi"",""Barchasi holatlar to'g'ri""}","{""Ҳушдан кетиш бир неча сониядан бирнеча соатгача бўлиши мумкин"",""Қайт қилиш бир-икки марта, оғир ҳолатларда кўпроқ бўлиши мумкин"",""Амнезия – хотиранинг йўқолиши,содир бўлган жароҳатланиш билан боғлиқ ва ҳаётдаги баъзи воқеалар хотирасидан ўчади"",""Барчаси ҳолатлар тўғри""}",3,https://postimg.cc/Dmfk0bYv,Bilet 41-50,300,,,,
Qaysi rasmda ikkita qatnov qismiga ega yo'l ko'rsatilingan?,Қайси расмда иккита қатнов қисмига эга йўл кўрсатилинган?,"{""Birinchisida"",""Ikkinchisida"",""Ikkala rasmda""}","{""Биринчисида"",""Иккинчисида"",""Иккала расмда""}",1,https://ptest.uz/images/4a805da8-edf6-45d6-8304-49d38d5a1578.webp,Bilet 41-50,300,,,,
Yo'lning qiyaliklarida qisqa muddatga to'xtagan mexanik uzatmali avtomobilni joyidan to'satdan harakatlanib ketishini oldini olish uchun:,Йўлнинг қияликларида қисқа муддатга тўхтаган механик узатмали автомобилни жойидан тўсатдан ҳаракатланиб кетишини олдини олиш учун:,"{""To'xtab turish tormozidan foydalanish lozim"",""Birinchi uzatmani yoki orqa uzatmani ulash lozim"",""Uzatmalar qutisi richagi ni neytral holatga o'tkazish lozim""}","{""Тўхтаб туриш тормозидан фойдаланиш лозим"",""Биринчи узатмани ёки орқа узатмани улаш лозим"",""Узатмалар қутиси ричаги ни нейтрал ҳолатга ўтказиш лозим""}",0,https://postimg.cc/Dmfk0bYv,Bilet 41-50,300,,,,
To'xtab turish tormoz tizimi N toifadagi avtotransport vositalarini aslahalangan holatda qanday qiyalikda ushlab tura olmasa foydalanish taqiqlanadi?,Тўхтаб туриш тормоз тизими N тоифадаги автотранспорт воситаларини аслаҳаланган ҳолатда қандай қияликда ушлаб тура олмаса фойдаланиш тақиқланади?,"{""25 % dan kam"",""16 % dan kam"",""31 % dan kam"",""20 % dan kam""}","{""25 % дан кам"",""16 % дан кам"",""31 % дан кам"",""20 % дан кам""}",2,https://postimg.cc/Dmfk0bYv,Bilet 41-50,300,,,,
Quyidagi belgilardan qaysi biri haydovchini boshqa xavf-xatarlar to'g'risida ogohlantiradi?,Қуйидаги белгилардан қайси бири ҳайдовчини бошқа хавф-хатарлар тўғрисида огоҳлантиради?,"{""A"",""B"",""V""}","{""А"",""Б"",""В""}",2,https://ptest.uz/images/d4319ccf-0a36-4121-abb5-364ca231dc16.webp,Bilet 41-50,300,,,,
Ushbu belgilardan qaysi biri haydovchining shu joydagi yashash yoki ishlash joyiga yetib borishiga monelik qilmaydi?,Ушбу белгилардан қайси бири ҳайдовчининг шу жойдаги яшаш ёки ишлаш жойига етиб боришига монелик қилмайди?,"{""A"",""B"",""C"",""B va C""}","{""A"",""B"",""C"",""B ва C""}",2,https://ptest.uz/images/e99fec96-5cab-4ce7-bfff-c864927c14a5.webp,Bilet 41-50,300,,,,
Piyodalar yo'lkasi – bu...,Пиёдалар йўлкаси – бу...,"{""Yo'l qatnov qismining piyodalar kesib o'tishi uchun mo'ljallangan, 5.16.1, 5.16.2 yo'l belgilari va 1.14.1-1.14.3 yo'l chiziqlari bilan ajratilgan bo'lagi."",""Yo'lning piyodalar harakatlanishi uchun mo'ljallangan va transport vositalari harakati taqiqlangan qismi"",""Qatnov qismiga tutashgan yoki undan maysazor, ariq maxsus to'siqlar bilan ajratilgan va piyodalarning harakatlanishi uchun mo'ljallangan yo'l qismi""}","{""Йўл қатнов қисмининг пиёдалар кесиб ўтиши учун мўлжалланган, 5.16.1, 5.16.2 йўл белгилари ва 1.14.1-1.14.3 йўл чизиқлари билан ажратилган бўлаги."",""Йўлнинг пиёдалар ҳаракатланиши учун мўлжалланган ва транспорт воситалари ҳаракати таъқиқланган қисми"",""Қатнов қисмига туташган ёки ундан майсазор, ариқ махсус тўсиқлар билан ажратилган ва пиёдаларнинг ҳаракатланиши учун мўлжалланган йўл қисми""}",1,https://postimg.cc/Dmfk0bYv,Bilet 41-50,300,,,,
Ushbu belgi...,Ушбу белги...,"{""Oldinda harakatlanish serqatnovligi haqida ogohlantiradi"",""Oldinda transport vositalarning tirbandligi haqida ogohlantiradi"",""Oldinda transport vositalari orasida xavfsiz oraliqni taminlash lozimligi haqida ogohlantiradi.""}","{""Олдинда ҳаракатланиш серқатновлиги ҳақида огоҳлантиради"",""Олдинда транспорт воситаларнинг тирбандлиги ҳақида огоҳлантиради"",""Олдинда транспорт воситалари орасида хавфсиз оралиқни таъминлаш лозимлиги ҳақида огоҳлантиради.""}",1,https://ptest.uz/images/f9a4215c-c2f9-47dd-a3cd-92d798ba5fa2.webp,Bilet 41-50,300,,,,
Avtomobilni qanday boshqarish usuli yonilg'i sarfini tejaydi?,Автомобилни қандай бошқариш усули ёнилғи сарфини тежайди?,"{""Shiddat bilan tezlanish va ohista sekinlashish bilan"",""Ohista tezlanish va shiddat bilan sekinlashish bilan"",""Ohista tezlanish va ohista sekinlashish bilan""}","{""Шиддат билан тезланиш ва оҳиста секинлашиш билан"",""Оҳиста тезланиш ва шиддат билан секинлашиш билан"",""Оҳиста тезланиш ва оҳиста секинлашиш билан""}",2,https://postimg.cc/Dmfk0bYv,Bilet 41-50,300,,,,
Harakatlanishga ruxsat berilgan:,Ҳаракатланишга рухсат берилган:,"{""Qizil, ko'k, yashil va sariq avtomobilga"",""Qizil va sariq avtomobilga"",""Qizil, sariq va yashil avtomobilga""}","{""Қизил, кўк, яшил ва сариқ автомобилга"",""Қизил ва сариқ автомобилга"",""Қизил, сариқ ва яшил автомобилга""}",1,https://ptest.uz/images/3b2aef16-7aa8-4aaf-b199-da50cb805922.webp,Bilet 41-50,300,,,,
