question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit,audio_url,audio_url_cyrl,explanation_text,explanation_text_cyrl
Yaltirovchi ko'k mayoqcha va unga qo'shimcha maxsus tovushli ishorasi yoqilgan transport vositasi sizga yaqinlashib kelmoqda. Siz shunday transport vositasiga qarshi harakatlanayotgan bo'lsangiz; nima qilishingiz lozim?,Ялтировчи кўк маёқча ва унга қўшимча махсус товушли ишораси ёқилган транспорт воситаси сизга яқинлашиб келмоқда. Сиз шундай транспорт воситасига қарши ҳаракатланаётган бўлсангиз; нима қилишингиз лозим?,"{""Yo'l yoqasida yoki qatnov qismining chetida to'xtash"",""Mayoqcha ishorasi yoqilgan transport vositasiga xalaqit bermasdan yo'l chetidan harakatlanish""}","{""Ёл ёқасида ёки қатнов қисмининг четида тўхташ"",""Маёқча ишораси ёқилган транспорт воситасига халақит бермасдан ёл четидан ҳаракатланиш""}",1,https://postimg.cc/Dmfk0bYv,11-BILET,300,,,,
Bu joyda to'xtash mumkinmi?,Бу жойда тўхташ мумкинми?,"{""Mumkin"",""Taqiqlangan""}","{""Мумкин"",""Тақиқланган""}",1,https://ptest.uz/images/a3ae1323-7a2d-48d8-b320-0a2107d81d77.webp,11-BILET,300,,,,
Sariq avtobusning haydovchisiga chorrahaga chiqishga ruxsat etiladimi?,Сариқ автобуснинг ҳайдовчисига чорраҳага чиқишга рухсат етиладими?,"{""Ruxsat etiladi"",""Taqiqlanadi"",""Agar avtobus belgilangan yo'nalish bo'yicha yursa ruxsat etiladi""}","{""Рухсат етилади"",""Тақиқланади"",""Агар автобус белгиланган ёналиш бўйича юрса рухсат етилади""}",1,https://ptest.uz/images/c134b213-e8b4-4534-8881-bdf090cc702d.webp,11-BILET,300,,,,
Yo'lning yoritilmagan qismlarida qorong'i vaqtda to'xtaganda gabarit chiroqlari buzuq bo'lsa:,Ёлнинг ёритилмаган қисмларида қоронги вақтда тўхтаганда габарит чироқлари бузуқ бўлса:,"{""Yaqinni yorituvchi faralarni yoqish"",""O'ngroqqa olish va yaqinni yorituvchi farani yoqish zarur"",""Transport vositasini yo'ldan tashqariga chiqarish, agar buning iloji bo'lmasa mazkur qoidalar talablariga binoan uni belgilash lozim""}","{""Яқинни ёритувчи фараларни ёқиш"",""Ўнгроққа олиш ва яқинни ёритувчи фарани ёқиш зарур"",""Транспорт воситасини ёлдан ташқарига чиқариш, агар бунинг иложи бўлмаса мазкур қоидалар талабларига биноан уни белгилаш лозим""}",2,https://postimg.cc/Dmfk0bYv,11-BILET,300,,,,
Harakatlanish mumkin bo'lgan yo'nalish qaysi rasmda ko'rsatilgan?,Ҳаракатланиш мумкин бўлган ёналиш қайси расмда кўрсатилган?,"{""Chapdagi rasmda"",""Pastdagi rasmda"",""O'ngdagi ras mda"",""O'rtadagi va o'ngdagi rasmda""}","{""Чапдаги расмда"",""Пастдаги расмда"",""Ўнгдаги рас мда"",""Ўртадаги ва ўнгдаги расмда""}",2,https://ptest.uz/images/78c7b0ea-7f69-4b42-8356-19d3412e5d4d.webp,11-BILET,300,,,,
Qaysi belgi oyning juft sonli kunlarda to'xtab turishni taqiqlaydi?,Қайси белги ойнинг жуфт сонли кунларда тўхтаб туришни тақиқлайди?,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5""}",4,https://ptest.uz/images/13b03ede-d65d-4fef-9364-8b59fb2c0dbb.webp,11-BILET,300,,,,
Transport vositalari suniy yoritilgan tunnelda harakatlanayotganda qanday yoritish chiroqlari yoqilishi kerak?,Транспорт воситалари суний ёритилган туннелда ҳаракатланаётганда қандай ёритиш чироқлари ёқилиши керак?,"{""Uzoqni yorituvchi chiroqlar"",""Yaqinni yoki uzoqni yorituvchi chiroqlar"",""Majburiy to'xtash yoritgichi"",""Yoritish asboblari yoqilmaydi""}","{""Узоқни ёритувчи чироқлар"",""Яқинни ёки узоқни ёритувчи чироқлар"",""Мажбурий тўхташ ёритгичи"",""Ёритиш асбоблари ёқилмайди""}",1,https://postimg.cc/Dmfk0bYv,11-BILET,300,,,,
Avtomobilda tibbiyot qutichasini qaerda saqlash lozim?,Автомобилда тиббиёт қутичасини қаерда сақлаш лозим?,"{""Engil avtomobilning yukxonasida"",""Tayyorlovchi korxona tomonidan belgilangan joylarda berk holatda"",""Avtomobilning kuzovida ko'rinadigan joyda""}","{""Енгил автомобилнинг юкхонасида"",""Тайёрловчи корхона томонидан белгиланган жойларда берк ҳолатда"",""Автомобилнинг кузовида кўринадиган жойда""}",1,https://postimg.cc/Dmfk0bYv,11-BILET,300,,,,
Ruxsat etilgan harakatlanish yo'nalishini ko'rsating:,Рухсат етилган ҳаракатланиш ёналишини кўрсатинг:,"{""Faqat \"" ? \"""",""Faqat \"" ? \"""",""Faqat \"" ? \"""",""\"" ? ?? \"" ? \"""",""\"" ? ?? \"" ? \""""}","{""Фақат \"" ? \"""",""Фақат \"" ? \"""",""Фақат \"" ? \"""",""\"" ? ?? \"" ? \"""",""\"" ? ?? \"" ? \""""}",3,https://ptest.uz/images/b55d21fb-42ad-49bb-82a8-c24deaea3d3b.webp,11-BILET,300,,,,
Bu yo'l belgisi:,Бу ёл белгиси:,"{""Faqat belgida ko'rsatilgan yoki yuqori tezlikda harakatlanishga ruxsat beradi"",""Belgida ko'rsatilgandan ortiq tezlikdagi harakatni taqiqlaydi"",""Yo'lning shu qismida tavsiya etilgan harakatlanish tezligini ko'rsatadi""}","{""Фақат белгида кўрсатилган ёки юқори тезликда ҳаракатланишга рухсат беради"",""Белгида кўрсатилгандан ортиқ тезликдаги ҳаракатни тақиқлайди"",""Ёлнинг шу қисмида тавсия етилган ҳаракатланиш тезлигини кўрсатади""}",0,https://ptest.uz/images/82d9f8ec-00ab-4470-8409-0b008d6a5973.webp,11-BILET,300,,,,
